"No.","Time","Source","Destination","Protocol","Length","Info"
"105","28.796998","2600:140f:3c00::b81c:ad10","2401:4900:4ffc:acba:323:b89d:2394:b9f7","OCSP","974","Response"
"106","28.796998","34.117.237.239","192.168.33.100","TLSv1.3","1137","Application Data"
"107","28.797234","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:140f:3c00::b81c:ad10","TCP","86","38748  >  80 [ACK] Seq=831 Ack=1777 Win=64256 Len=0 TSval=132883997 TSecr=850680732"
"108","28.796998","34.117.237.239","192.168.33.100","TLSv1.3","105","Application Data"
"109","28.797313","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=964 Ack=6491 Win=64128 Len=0 TSval=1366051379 TSecr=595581172"
"110","28.797373","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=964 Ack=6530 Win=64128 Len=0 TSval=1366051379 TSecr=595581172"
"111","28.800886","192.168.33.100","34.117.237.239","TLSv1.3","105","Application Data"
"112","28.839892","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=310 Ack=4767 Win=64256 Len=0 TSval=673086187 TSecr=2876742759"
"113","28.856527","34.117.237.239","192.168.33.100","TCP","66","443  >  37488 [ACK] Seq=6530 Ack=1003 Win=68864 Len=0 TSval=595581255 TSecr=1366051383"
"114","28.879711","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TLSv1.2","263","Application Data"
"115","28.880431","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TLSv1.2","327","Application Data"
"116","28.880826","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TLSv1.2","124","Application Data"
"117","28.938700","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","124","Application Data"
"118","28.938759","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=766 Ack=4805 Win=64256 Len=0 TSval=673086285 TSecr=2876742925"
"119","28.944848","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","86","443  >  46206 [ACK] Seq=4805 Ack=766 Win=68864 Len=0 TSval=2876742926 TSecr=673086227"
"120","28.945264","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","419","Application Data"
"121","28.945264","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","1294","Application Data"
"122","28.945300","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=766 Ack=5138 Win=64256 Len=0 TSval=673086292 TSecr=2876742927"
"123","28.945427","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=766 Ack=6346 Win=63104 Len=0 TSval=673086292 TSecr=2876742927"
"124","28.945910","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","1294","Application Data"
"125","28.945910","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","1294","Application Data"
"126","28.945925","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=766 Ack=7554 Win=62592 Len=0 TSval=673086293 TSecr=2876742927"
"127","28.946009","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=766 Ack=8762 Win=61568 Len=0 TSval=673086293 TSecr=2876742929"
"128","28.950567","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","1294","Application Data"
"129","28.950568","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","756","Application Data"
"130","28.950623","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=766 Ack=9970 Win=64256 Len=0 TSval=673086297 TSecr=2876742929"
"131","28.950740","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=766 Ack=10640 Win=63616 Len=0 TSval=673086297 TSecr=2876742933"
"132","28.950791","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","132","Application Data"
"133","28.950897","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=766 Ack=10686 Win=64256 Len=0 TSval=673086298 TSecr=2876742934"
"134","28.950998","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TLSv1.2","132","Application Data"
"135","29.010197","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","86","443  >  46206 [ACK] Seq=10686 Ack=812 Win=68864 Len=0 TSval=2876742997 TSecr=673086298"
"136","29.507149","192.168.33.100","192.168.33.251","DNS","87","Standard query 0x9013 A safebrowsing.googleapis.com"
"137","29.507364","192.168.33.100","192.168.33.251","DNS","87","Standard query 0xa81c AAAA safebrowsing.googleapis.com"
"138","29.580823","192.168.33.251","192.168.33.100","DNS","103","Standard query response 0x9013 A safebrowsing.googleapis.com A 142.250.77.106"
"139","29.585961","192.168.33.251","192.168.33.100","DNS","115","Standard query response 0xa81c AAAA safebrowsing.googleapis.com AAAA 2404:6800:4007:81a::200a"
"140","29.586459","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:81a::200a","TCP","94","43840  >  443 [SYN] Seq=0 Win=64900 Len=0 MSS=1298 SACK_PERM TSval=2181464617 TSecr=0 WS=128"
"141","29.659948","2404:6800:4007:81a::200a","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","94","443  >  43840 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1298 SACK_PERM TSval=2979740604 TSecr=2181464617 WS=256"
"142","29.660012","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:81a::200a","TCP","86","43840  >  443 [ACK] Seq=1 Ack=1 Win=65024 Len=0 TSval=2181464691 TSecr=2979740604"
"143","29.662712","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:81a::200a","TLSv1.3","603","Client Hello (SNI=safebrowsing.googleapis.com)"
"144","29.732176","2404:6800:4007:81a::200a","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","86","443  >  43840 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=2979740670 TSecr=2181464693"
"145","29.758299","2404:6800:4007:81a::200a","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.3","1294","Server Hello, Change Cipher Spec"
"146","29.758337","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:81a::200a","TCP","86","43840  >  443 [ACK] Seq=518 Ack=1209 Win=64256 Len=0 TSval=2181464789 TSecr=2979740702"
"147","29.764580","2404:6800:4007:81a::200a","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","1294","443  >  43840 [PSH, ACK] Seq=1209 Ack=518 Win=66816 Len=1208 TSval=2979740702 TSecr=2181464693 [TCP segment of a reassembled PDU]"
"148","29.764617","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:81a::200a","TCP","86","43840  >  443 [ACK] Seq=518 Ack=2417 Win=64256 Len=0 TSval=2181464795 TSecr=2979740702"
"149","29.764811","2404:6800:4007:81a::200a","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","1294","443  >  43840 [ACK] Seq=2417 Ack=518 Win=66816 Len=1208 TSval=2979740702 TSecr=2181464693 [TCP segment of a reassembled PDU]"
"150","29.764824","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:81a::200a","TCP","86","43840  >  443 [ACK] Seq=518 Ack=3625 Win=63488 Len=0 TSval=2181464796 TSecr=2979740702"
"151","29.764908","2404:6800:4007:81a::200a","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.3","1143","Application Data"
"152","29.764914","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:81a::200a","TCP","86","43840  >  443 [ACK] Seq=518 Ack=4682 Win=62592 Len=0 TSval=2181464796 TSecr=2979740702"
"153","29.777407","192.168.33.100","192.168.33.251","DNS","73","Standard query 0x2e09 A ocsp.pki.goog"
"154","29.777802","192.168.33.100","192.168.33.251","DNS","73","Standard query 0x0c0e AAAA ocsp.pki.goog"
"155","29.826432","192.168.33.251","192.168.33.100","DNS","124","Standard query response 0x2e09 A ocsp.pki.goog CNAME pki-goog.l.google.com A 142.250.196.163"
"156","29.832820","192.168.33.251","192.168.33.100","DNS","136","Standard query response 0x0c0e AAAA ocsp.pki.goog CNAME pki-goog.l.google.com AAAA 2404:6800:4007:825::2003"
"157","29.836149","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:825::2003","TCP","94","59318  >  80 [SYN] Seq=0 Win=64900 Len=0 MSS=1298 SACK_PERM TSval=3882954734 TSecr=0 WS=128"
"158","29.892870","2404:6800:4007:825::2003","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","94","80  >  59318 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1298 SACK_PERM TSval=1267030638 TSecr=3882954734 WS=256"
"159","29.892916","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:825::2003","TCP","86","59318  >  80 [ACK] Seq=1 Ack=1 Win=65024 Len=0 TSval=3882954791 TSecr=1267030638"
"160","29.895178","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2404:6800:4007:825::2003","OCSP","505","Request"
"161","29.941054","192.168.33.100","192.168.33.251","DNS","85","Standard query 0xcc1f A push.services.mozilla.com"
"162","29.941256","192.168.33.100","192.168.33.251","DNS","85","Standard query 0x261c AAAA push.services.mozilla.com"
